Name of School,School Description,Type of School,Address,Phone Numbers,School Website,Link
Butterfly Kids Day Care,Butterfly Kids Day Care offers educational programme for children ranging from 3 months to 5 years old.,pre-school,"10, Adamu Chiroma Crescent, Jabi, Abuja FCT Nigeria",0705 762 0984,"=HYPERLINK(""http://mybutterflykids.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Butterfly-Kids-Day-Care/12068/"",""Read more"")"
Cradle to Crayon School,"Cradle to Crayon School is a bright and cheerful educational centre for children aged 6 months to 5 years conveniently located in Maitama, Abuja.",pre-school,"37, Lake Chad Crescent, Maitama, Abuja FCT Nigeria","0703 595 4101, 0703 595 4102, 0702 841 8011","=HYPERLINK(""http://www.cradletocrayonschool.org/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Cradle-to-Crayon-School/9875/"",""Read more"")"
Heritage Academy,Heritage Academy is an educational service centre in Abuja for pre school educational programmes.,pre-school,"Plot 1481, Cadastral Zone B07, Katampe, Abuja FCT Nigeria",0703 116 1601,"=HYPERLINK(""http://heritageacademyng.com"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Heritage-Academy/4632/"",""Read more"")"
Maple Leaf Kids,Maple Leaf Kids  offers pre-primary educational programmes in Abuja.,pre-school,"33, Gade Street, Gwarimpa Estate, Gwarimpa, Abuja FCT Nigeria",0803 826 5331,"=HYPERLINK(""http://www.mapleleafkids.com/ourchildren.html"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Maple-Leaf-Kids/12194/"",""Read more"")"
Teenee Todds,"Teenee Todds offers educational programmes for day care, pre-school and nursery sections and is located in Abuja",pre-school,"Plot 3622, Cadestral Close, Off Amazon Street, Maitama, Abuja FCT Nigeria",0814 040 7094,"=HYPERLINK(""http://www.teeneetoddsdaycare.org/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Teenee-Todds/25193/"",""Read more"")"
Abigail School,Abigail School offers pre-school educational programmes in Abuja.,pre-school,"1822, Manhathir Mohammed Street, Asokoro, Abuja FCT Nigeria","0706 7706 771, 0803 744 4281, 0810 658 6131","=HYPERLINK(""http://www.finelib.com/listing/Abigail-School/4625/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Abigail-School/4625/"",""Read more"")"
Aisha International School,Aisha International School offers pre-primary educational programme in Abuja.,pre-school,"15, House Drive, Gwarinpa, Abuja FCT Nigeria","0804 215 4410, 0805 560 1864","=HYPERLINK(""http://www.finelib.com/listing/Aisha-International-School/12067/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Aisha-International-School/12067/"",""Read more"")"
Little Harvard,Little Harvard offers educational programmes for pre-school and creche graders in Abuja.,pre-school,"21, Amazon Street, Maitama, Abuja FCT Nigeria","0810 111 6562, 0803 309 6193","=HYPERLINK(""http://www.finelib.com/listing/Little-Harvard/12189/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Little-Harvard/12189/"",""Read more"")"
